head,relation,tail,noise
"in 1984, when he ran for the senate he opposed, or called for the elimination of a great many major weapons systems that were crucial to winning the cold war and are important today to our overall forces",said in,05-10-2004,0
if it's not in our best interest makes no sense,said in,30-09-2004,0
"if we had not taken our initiative, it's very, very possible that uh - the government of rhodesia would have been overrun and that the soviet union and the cubans would have dominated uh - southern africa",support,"if the united states had not moved when we did in southern africa, there's no doubt there would have been an acceleration of bloodshed in that tragic part of the world",0
i was on the world of business for 25 years,is a,premise,0
what i've done is set priorities and funded them,support,i believe the people who pay the bills ought to get some money back,0
i'd have found a way to sign that bill,said in,25-09-1988,0
"all those things are designed to make sure that the american people, their genius, their grit, their determination, is -- is channeled and -- and they have an opportunity to succeed",is a,premise,0
"excellent, right on top of that subject matter",is a,claim,0
"if you care about the future of america, if you care about your future, just don't do it",said in,06-10-1996,0
that was a terrible time for our country,said in,09-10-2016,0
"under the president's policies, middle-income americans have been buried",is a,claim,0
"and he ought to be proud of it, it's part of his record",support,this is a big spender,0
this is why a tax reform is so important,said in,23-09-1976,0
there has never been an administration or president who has done more than i’ve done in a period of three and a half years,is a,claim,0
we have to make this the top priority,support,i would also do everything possible to take out their leadership,0
"i said at the time that we had to hold the lid an federal spending, that for every dollar of a tax reduction we had to have an equal reduction in federal expenditures - a one-for-one proposition",is a,premise,0
"it seemed to me if you want to send a signal, you've got to send a signal",support,"the sooner the better off we'll be, if you put tougher sanctions on castro, not try to make it easier for him",0
"it's been a time, therefore, of illusion and false hopes, and the longer it continues, the more dangerous it becomes",is a,premise,0
"we're down 35,000 jobs in the private sector",said in,11-10-1992,0
"as soon as they have a change that allows the people to speak freely, they're wanting to develop some kind of blueprint that will help them be like us more, freedom, free markets, political freedom",said in,11-10-2000,0
it has resulted in the greatest expansion of the private sector of the economy that has ever been witnessed in an eight-year period,said in,26-09-1960,0
i did vote for it,said in,19-10-2016,0
